Store,SUM of Sales,SUM of Customers,AVERAGE of Sales,AVERAGE of Customers,,,DayOfWeek,AVERAGE of Sales,AVERAGE of Customers,,,,,,,
469,64318,6036,12863.60,1207.20,,,,,,,,,,,,
470,14033,3798,3508.25,949.50,,,,,,,,,,,,
471,20445,1813,5111.25,453.25,,,,,,,,,,,,
472,23299,3025,4659.80,605.00,,,,,,,,,,,,
473,6744,338,1686.00,84.50,,,,,,,,,,,,
474,28402,2918,4733.67,486.33,,,,,,,,,,,,
475,28472,4689,3163.56,521.00,,,,,,,,,,,,
476,20273,2372,4054.60,474.40,,,,,,,,,,,,
477,35955,2058,5992.50,343.00,,,,,,,,,,,,
478,28622,2456,4088.86,350.86,,,,,,,,,,,,
479,19077,2137,9538.50,1068.50,,,,,,,,,,,,
480,25174,3150,5034.80,630.00,,,,,,,,,,,,
481,28607,2823,4086.71,403.29,,,,,,,,,,,,
482,33831,3987,5638.50,664.50,,,,,,,,,,,,
483,29976,3593,5995.20,718.60,,,,,,,,,,,,
484,37809,3164,7561.80,632.80,,,,,,,,,,,,
485,12638,1188,2527.60,237.60,,,,,,,,,,,,
486,3612,471,1806.00,235.50,,,,,,,,,,,,
487,21586,2064,5396.50,516.00,,,,,,,,,,,,
488,19133,1977,3826.60,395.40,,,,,,,,,,,,
489,2943,287,2943.00,287.00,,,,,,,,,,,,
490,58245,7519,7280.63,939.88,,,,,,,,,,,,
491,13334,1164,3333.50,291.00,,,,,,,,,,,,
492,15664,2117,5221.33,705.67,,,,,,,,,,,,
493,43833,4183,7305.50,697.17,,,,,,,,,,,,
494,28244,3771,7061.00,942.75,,,,,,,,,,,,
495,17221,770,4305.25,192.50,,,,,,,,,,,,
496,60203,6120,8600.43,874.29,,,,,,,,,,,,
497,57749,6940,8249.86,991.43,,,,,,,,,,,,
498,33059,3348,5509.83,558.00,,,,,,,,,,,,
499,45648,6688,4564.80,668.80,,,,,,,,,,,,
500,0,0,0.00,0.00,,,,,,,,,,,,
501,28921,2546,5784.20,509.20,,,,,,,,,,,,
502,13910,1768,6955.00,884.00,,,,,,,,,,,,
503,26611,2548,6652.75,637.00,,,,,,,,,,,,
504,32058,4681,5343.00,780.17,,,,,,,,,,,,
505,23773,2803,5943.25,700.75,,,,,,,,,,,,
506,61821,7186,6182.10,718.60,,,,,,,,,,,,
507,29138,2143,9712.67,714.33,,,,,,,,,,,,
508,15737,1503,3147.40,300.60,,,,,,,,,,,,
509,35058,2626,5843.00,437.67,,,,,,,,,,,,
510,20508,1558,3418.00,259.67,,,,,,,,,,,,
511,27358,4796,3908.29,685.14,,,,,,,,,,,,
512,24147,4905,4829.40,981.00,,,,,,,,,,,,
513,92783,12675,15463.83,2112.50,,,,,,,,,,,,
514,11795,1214,3931.67,404.67,,,,,,,,,,,,
515,39565,3447,7913.00,689.40,,,,,,,,,,,,
516,28151,2939,4691.83,489.83,,,,,,,,,,,,
517,16986,1923,3397.20,384.60,,,,,,,,,,,,
518,18802,1745,3760.40,349.00,,,,,,,,,,,,
519,19697,1554,3939.40,310.80,,,,,,,,,,,,
520,0,0,0.00,0.00,,,,,,,,,,,,
521,8925,737,2975.00,245.67,,,,,,,,,,,,
522,6427,1079,3213.50,539.50,,,,,,,,,,,,
523,54699,5094,10939.80,1018.80,,,,,,,,,,,,
524,7950,1629,2650.00,543.00,,,,,,,,,,,,
525,51289,5422,7327.00,774.57,,,,,,,,,,,,
526,40897,6239,5842.43,891.29,,,,,,,,,,,,
527,78098,6782,8677.56,753.56,,,,,,,,,,,,
528,21391,1947,10695.50,973.50,,,,,,,,,,,,
529,58347,5412,7293.38,676.50,,,,,,,,,,,,
530,31941,5331,5323.50,888.50,,,,,,,,,,,,
531,15559,1886,5186.33,628.67,,,,,,,,,,,,
532,60988,8298,6776.44,922.00,,,,,,,,,,,,
533,49930,4657,9986.00,931.40,,,,,,,,,,,,
534,10533,700,3511.00,233.33,,,,,,,,,,,,
535,64878,4752,9268.29,678.86,,,,,,,,,,,,
536,23113,3708,5778.25,927.00,,,,,,,,,,,,
537,32774,2430,4096.75,303.75,,,,,,,,,,,,
538,22250,2341,2781.25,292.63,,,,,,,,,,,,
539,47675,5976,9535.00,1195.20,,,,,,,,,,,,
540,15428,1121,3857.00,280.25,,,,,,,,,,,,
541,35175,4674,5862.50,779.00,,,,,,,,,,,,
542,13953,1115,4651.00,371.67,,,,,,,,,,,,
543,13773,1213,1967.57,173.29,,,,,,,,,,,,
544,60937,5641,15234.25,1410.25,,,,,,,,,,,,
545,78430,8312,8714.44,923.56,,,,,,,,,,,,
546,95407,9138,11925.88,1142.25,,,,,,,,,,,,
547,3991,0,1330.33,0.00,,,,,,,,,,,,
548,26373,2419,3767.57,345.57,,,,,,,,,,,,
549,16162,1343,3232.40,268.60,,,,,,,,,,,,
550,41513,2608,4151.30,260.80,,,,,,,,,,,,
551,22135,4477,3689.17,746.17,,,,,,,,,,,,
552,39022,4301,3902.20,430.10,,,,,,,,,,,,
553,18389,1697,6129.67,565.67,,,,,,,,,,,,
554,27142,2696,4523.67,449.33,,,,,,,,,,,,
555,35208,2853,7041.60,570.60,,,,,,,,,,,,
556,56343,6023,5634.30,602.30,,,,,,,,,,,,
557,19690,2829,4922.50,707.25,,,,,,,,,,,,
558,7370,1010,3685.00,505.00,,,,,,,,,,,,
559,11232,1547,5616.00,773.50,,,,,,,,,,,,
560,45328,5006,11332.00,1251.50,,,,,,,,,,,,
561,19288,1905,3857.60,381.00,,,,,,,,,,,,
562,112911,19040,18818.50,3173.33,,,,,,,,,,,,
563,14771,2448,4923.67,816.00,,,,,,,,,,,,
564,16960,1464,4240.00,366.00,,,,,,,,,,,,
565,21965,2609,5491.25,652.25,,,,,,,,,,,,
566,18202,2968,2600.29,424.00,,,,,,,,,,,,
567,55378,6896,5034.36,626.91,,,,,,,,,,,,
568,33479,1667,4782.71,238.14,,,,,,,,,,,,
569,35020,5587,4377.50,698.38,,,,,,,,,,,,
570,15822,2485,3955.50,621.25,,,,,,,,,,,,
571,44544,3363,7424.00,560.50,,,,,,,,,,,,
572,21172,1749,7057.33,583.00,,,,,,,,,,,,
573,16621,1437,4155.25,359.25,,,,,,,,,,,,
574,41234,3118,5890.57,445.43,,,,,,,,,,,,
575,29252,2442,7313.00,610.50,,,,,,,,,,,,
576,25169,2868,6292.25,717.00,,,,,,,,,,,,
577,9854,1265,3284.67,421.67,,,,,,,,,,,,
578,46706,4555,7784.33,759.17,,,,,,,,,,,,
579,26043,1624,6510.75,406.00,,,,,,,,,,,,
580,25298,5363,6324.50,1340.75,,,,,,,,,,,,
581,12557,1382,4185.67,460.67,,,,,,,,,,,,
582,38016,4695,4752.00,586.88,,,,,,,,,,,,
583,30882,2378,5147.00,396.33,,,,,,,,,,,,
584,18526,1718,3705.20,343.60,,,,,,,,,,,,
585,19698,2343,4924.50,585.75,,,,,,,,,,,,
586,93596,21474,10399.56,2386.00,,,,,,,,,,,,
587,22395,1625,7465.00,541.67,,,,,,,,,,,,
588,29196,2745,4866.00,457.50,,,,,,,,,,,,
589,22467,1687,3744.50,281.17,,,,,,,,,,,,
590,9260,1131,1852.00,226.20,,,,,,,,,,,,
591,40291,3508,5036.38,438.50,,,,,,,,,,,,
592,32161,2594,4594.43,370.57,,,,,,,,,,,,
593,53963,7030,8993.83,1171.67,,,,,,,,,,,,
594,9933,416,4966.50,208.00,,,,,,,,,,,,
595,50587,9017,10117.40,1803.40,,,,,,,,,,,,
596,29769,4706,3307.67,522.89,,,,,,,,,,,,
597,25401,3815,3628.71,545.00,,,,,,,,,,,,
598,12559,738,6279.50,369.00,,,,,,,,,,,,
599,53650,4007,7664.29,572.43,,,,,,,,,,,,
600,24849,1212,4969.80,242.40,,,,,,,,,,,,
601,31671,2749,4524.43,392.71,,,,,,,,,,,,
602,38183,3487,4772.88,435.88,,,,,,,,,,,,
603,18801,2645,6267.00,881.67,,,,,,,,,,,,
604,82190,5867,7471.82,533.36,,,,,,,,,,,,
605,28993,2261,5798.60,452.20,,,,,,,,,,,,
606,11852,1178,3950.67,392.67,,,,,,,,,,,,
607,11705,1203,2926.25,300.75,,,,,,,,,,,,
608,56477,4139,7059.63,517.38,,,,,,,,,,,,
609,25214,2744,3602.00,392.00,,,,,,,,,,,,
610,24748,1631,3093.50,203.88,,,,,,,,,,,,
611,15953,1356,5317.67,452.00,,,,,,,,,,,,
612,13524,810,6762.00,405.00,,,,,,,,,,,,
613,24220,2653,6055.00,663.25,,,,,,,,,,,,
614,31651,6319,4521.57,902.71,,,,,,,,,,,,
615,35794,5343,7158.80,1068.60,,,,,,,,,,,,
616,62647,3559,8949.57,508.43,,,,,,,,,,,,
617,14970,1301,7485.00,650.50,,,,,,,,,,,,
619,9901,975,4950.50,487.50,,,,,,,,,,,,
620,27050,3183,6762.50,795.75,,,,,,,,,,,,
621,15113,2159,5037.67,719.67,,,,,,,,,,,,
622,4233,408,4233.00,408.00,,,,,,,,,,,,
623,37892,3999,5413.14,571.29,,,,,,,,,,,,
624,52525,4923,4775.00,447.55,,,,,,,,,,,,
625,26011,2043,5202.20,408.60,,,,,,,,,,,,
626,15788,1463,5262.67,487.67,,,,,,,,,,,,
627,31711,3209,6342.20,641.80,,,,,,,,,,,,
628,56731,6694,7091.38,836.75,,,,,,,,,,,,
629,30958,2077,7739.50,519.25,,,,,,,,,,,,
631,33491,1889,4784.43,269.86,,,,,,,,,,,,
632,13345,1781,3336.25,445.25,,,,,,,,,,,,
633,6925,587,6925.00,587.00,,,,,,,,,,,,
634,16767,1887,5589.00,629.00,,,,,,,,,,,,
635,19719,2030,3943.80,406.00,,,,,,,,,,,,
636,10913,1346,5456.50,673.00,,,,,,,,,,,,
637,7194,633,7194.00,633.00,,,,,,,,,,,,
638,0,519,0.00,519.00,,,,,,,,,,,,
639,10662,757,2665.50,189.25,,,,,,,,,,,,
640,39494,3041,7898.80,608.20,,,,,,,,,,,,
641,21997,2332,3666.17,388.67,,,,,,,,,,,,
642,11034,998,2758.50,249.50,,,,,,,,,,,,
643,20963,2822,6987.67,940.67,,,,,,,,,,,,
644,23326,2638,7775.33,879.33,,,,,,,,,,,,
645,58799,6973,11759.80,1394.60,,,,,,,,,,,,
648,10813,0,10813.00,0.00,,,,,,,,,,,,
649,15119,1639,1889.88,204.88,,,,,,,,,,,,
650,5400,604,5400.00,604.00,,,,,,,,,,,,
651,21952,2757,5488.00,689.25,,,,,,,,,,,,
652,9582,920,3194.00,306.67,,,,,,,,,,,,
653,34855,2502,5809.17,417.00,,,,,,,,,,,,
654,7491,858,1872.75,214.50,,,,,,,,,,,,
655,0,0,0.00,0.00,,,,,,,,,,,,
656,19869,1964,3311.50,327.33,,,,,,,,,,,,
657,41289,3781,5898.43,540.14,,,,,,,,,,,,
658,31986,3106,6397.20,621.20,,,,,,,,,,,,
659,16477,1899,4119.25,474.75,,,,,,,,,,,,
660,4999,534,1666.33,178.00,,,,,,,,,,,,
661,30882,2458,7720.50,614.50,,,,,,,,,,,,
662,54658,3925,7808.29,560.71,,,,,,,,,,,,
663,21871,2651,5467.75,662.75,,,,,,,,,,,,
664,11845,1515,3948.33,505.00,,,,,,,,,,,,
665,41845,5846,8369.00,1169.20,,,,,,,,,,,,
666,13913,764,6956.50,382.00,,,,,,,,,,,,
667,24058,1500,6014.50,375.00,,,,,,,,,,,,
668,45284,5863,7547.33,977.17,,,,,,,,,,,,
669,16232,1663,3246.40,332.60,,,,,,,,,,,,
670,23250,2607,5812.50,651.75,,,,,,,,,,,,
671,22708,2134,5677.00,533.50,,,,,,,,,,,,
672,39301,6655,6550.17,1109.17,,,,,,,,,,,,
673,42850,3112,5356.25,389.00,,,,,,,,,,,,
674,72023,8729,9002.88,1091.13,,,,,,,,,,,,
675,5105,511,5105.00,511.00,,,,,,,,,,,,
676,75244,14532,9405.50,1816.50,,,,,,,,,,,,
677,39336,2539,6556.00,423.17,,,,,,,,,,,,
678,41132,4862,5876.00,694.57,,,,,,,,,,,,
679,40516,4307,8103.20,861.40,,,,,,,,,,,,
680,26505,3650,6626.25,912.50,,,,,,,,,,,,
681,18796,2729,3132.67,454.83,,,,,,,,,,,,
682,49985,9736,9997.00,1947.20,,,,,,,,,,,,
683,67389,6290,8423.63,786.25,,,,,,,,,,,,
684,27505,2196,6876.25,549.00,,,,,,,,,,,,
685,23839,2129,5959.75,532.25,,,,,,,,,,,,
686,57498,5694,5749.80,569.40,,,,,,,,,,,,
687,19078,1604,9539.00,802.00,,,,,,,,,,,,
688,9373,1104,2343.25,276.00,,,,,,,,,,,,
689,26642,2743,4440.33,457.17,,,,,,,,,,,,
690,24428,3636,4885.60,727.20,,,,,,,,,,,,
691,25452,1752,8484.00,584.00,,,,,,,,,,,,
692,18160,2986,3632.00,597.20,,,,,,,,,,,,
693,20955,1000,5238.75,250.00,,,,,,,,,,,,
694,35091,3428,5848.50,571.33,,,,,,,,,,,,
695,17070,1763,4267.50,440.75,,,,,,,,,,,,
696,20899,2843,5224.75,710.75,,,,,,,,,,,,
697,33564,2730,8391.00,682.50,,,,,,,,,,,,
698,44889,5543,11222.25,1385.75,,,,,,,,,,,,
699,31295,2925,6259.00,585.00,,,,,,,,,,,,
700,15703,1295,3925.75,323.75,,,,,,,,,,,,
701,20422,3336,2552.75,417.00,,,,,,,,,,,,
702,24157,1150,4026.17,191.67,,,,,,,,,,,,
703,16295,1657,2327.86,236.71,,,,,,,,,,,,
704,44502,3419,8900.40,683.80,,,,,,,,,,,,
705,33321,4134,6664.20,826.80,,,,,,,,,,,,
706,40475,3698,5059.38,462.25,,,,,,,,,,,,
707,18210,2534,6070.00,844.67,,,,,,,,,,,,
708,19335,2020,4833.75,505.00,,,,,,,,,,,,
709,41506,4227,6917.67,704.50,,,,,,,,,,,,
710,3758,317,1879.00,158.50,,,,,,,,,,,,
711,24175,1615,6043.75,403.75,,,,,,,,,,,,
712,24672,1347,6168.00,336.75,,,,,,,,,,,,
713,27828,1299,9276.00,433.00,,,,,,,,,,,,
714,10919,844,3639.67,281.33,,,,,,,,,,,,
715,34393,1889,3439.30,188.90,,,,,,,,,,,,
716,15939,1221,5313.00,407.00,,,,,,,,,,,,
717,14563,729,2912.60,145.80,,,,,,,,,,,,
718,46246,5024,6606.57,717.71,,,,,,,,,,,,
719,8635,739,8635.00,739.00,,,,,,,,,,,,
720,34791,2981,3865.67,331.22,,,,,,,,,,,,
721,53441,5212,7634.43,744.57,,,,,,,,,,,,
722,36660,5843,6110.00,973.83,,,,,,,,,,,,
723,35913,3006,5985.50,501.00,,,,,,,,,,,,
724,10355,0,3451.67,0.00,,,,,,,,,,,,
725,20411,2290,3401.83,381.67,,,,,,,,,,,,
726,35001,4718,5833.50,786.33,,,,,,,,,,,,
727,8062,938,2687.33,312.67,,,,,,,,,,,,
728,10236,861,3412.00,287.00,,,,,,,,,,,,
729,47908,5234,9581.60,1046.80,,,,,,,,,,,,
730,28157,4514,4692.83,752.33,,,,,,,,,,,,
731,47293,5495,6756.14,785.00,,,,,,,,,,,,
732,54049,7243,5404.90,724.30,,,,,,,,,,,,
733,60003,13660,15000.75,3415.00,,,,,,,,,,,,
734,7804,813,3902.00,406.50,,,,,,,,,,,,
735,34874,3042,4359.25,380.25,,,,,,,,,,,,
736,14978,1431,4992.67,477.00,,,,,,,,,,,,
737,40994,5673,6832.33,945.50,,,,,,,,,,,,
738,64427,5191,9203.86,741.57,,,,,,,,,,,,
739,55962,3598,9327.00,599.67,,,,,,,,,,,,
740,12316,875,6158.00,437.50,,,,,,,,,,,,
741,22191,1860,7397.00,620.00,,,,,,,,,,,,
742,52938,4737,7562.57,676.71,,,,,,,,,,,,
743,10509,1241,2101.80,248.20,,,,,,,,,,,,
744,49654,5176,4965.40,517.60,,,,,,,,,,,,
745,9317,2338,3105.67,779.33,,,,,,,,,,,,
746,23143,2140,2571.44,237.78,,,,,,,,,,,,
747,24191,786,8063.67,262.00,,,,,,,,,,,,
748,20765,1554,4153.00,310.80,,,,,,,,,,,,
749,26498,3823,4416.33,637.17,,,,,,,,,,,,
750,13684,1049,2736.80,209.80,,,,,,,,,,,,
751,15568,1709,3113.60,341.80,,,,,,,,,,,,
752,26860,1528,6715.00,382.00,,,,,,,,,,,,
753,26469,2276,5293.80,455.20,,,,,,,,,,,,
754,30274,2701,5045.67,450.17,,,,,,,,,,,,
755,36147,2854,9036.75,713.50,,,,,,,,,,,,
756,31670,4473,10556.67,1491.00,,,,,,,,,,,,
757,19780,1072,6593.33,357.33,,,,,,,,,,,,
758,36326,4225,4036.22,469.44,,,,,,,,,,,,
759,29277,3324,4182.43,474.86,,,,,,,,,,,,
760,21543,3835,3590.50,639.17,,,,,,,,,,,,
761,33453,2118,8363.25,529.50,,,,,,,,,,,,
762,13949,1314,2789.80,262.80,,,,,,,,,,,,
763,37492,3438,4686.50,429.75,,,,,,,,,,,,
764,10077,619,3359.00,206.33,,,,,,,,,,,,
765,29367,2339,7341.75,584.75,,,,,,,,,,,,
766,13985,1120,4661.67,373.33,,,,,,,,,,,,
767,0,426,0.00,213.00,,,,,,,,,,,,
768,70951,7590,11825.17,1265.00,,,,,,,,,,,,
769,84191,24172,12027.29,3453.14,,,,,,,,,,,,
770,3688,1035,1844.00,517.50,,,,,,,,,,,,
771,24752,1808,6188.00,452.00,,,,,,,,,,,,
772,25374,3447,2537.40,344.70,,,,,,,,,,,,
773,30557,3468,6111.40,693.60,,,,,,,,,,,,
774,20327,1287,3387.83,214.50,,,,,,,,,,,,
775,0,0,0.00,0.00,,,,,,,,,,,,
776,20672,1693,4134.40,338.60,,,,,,,,,,,,
777,3396,314,1698.00,157.00,,,,,,,,,,,,
778,6736,0,3368.00,0.00,,,,,,,,,,,,
779,30393,3030,7598.25,757.50,,,,,,,,,,,,
780,36533,4252,4059.22,472.44,,,,,,,,,,,,
781,16365,2422,2337.86,346.00,,,,,,,,,,,,
782,17561,1653,5853.67,551.00,,,,,,,,,,,,
783,11666,1215,2916.50,303.75,,,,,,,,,,,,
784,28209,1629,5641.80,325.80,,,,,,,,,,,,
786,18015,2601,4503.75,650.25,,,,,,,,,,,,
787,20248,2166,10124.00,1083.00,,,,,,,,,,,,
788,66454,7950,13290.80,1590.00,,,,,,,,,,,,
789,16262,2270,2710.33,378.33,,,,,,,,,,,,
790,33253,2912,5542.17,485.33,,,,,,,,,,,,
791,44649,4505,6378.43,643.57,,,,,,,,,,,,
792,13141,1284,4380.33,428.00,,,,,,,,,,,,
793,6704,398,2234.67,132.67,,,,,,,,,,,,
794,8685,1473,2895.00,491.00,,,,,,,,,,,,
795,11985,1341,1997.50,223.50,,,,,,,,,,,,
796,6259,1345,1043.17,224.17,,,,,,,,,,,,
797,5533,343,922.17,57.17,,,,,,,,,,,,
798,29950,2143,7487.50,535.75,,,,,,,,,,,,
799,17485,1802,5828.33,600.67,,,,,,,,,,,,
800,32282,2413,4611.71,344.71,,,,,,,,,,,,
801,50774,4401,3905.69,338.54,,,,,,,,,,,,
802,14717,0,7358.50,0.00,,,,,,,,,,,,
803,18675,1501,4668.75,375.25,,,,,,,,,,,,
804,10102,946,2525.50,236.50,,,,,,,,,,,,
805,26702,2012,5340.40,402.40,,,,,,,,,,,,
806,38427,1984,4803.38,248.00,,,,,,,,,,,,
807,35676,2865,7135.20,573.00,,,,,,,,,,,,
808,15076,1238,5025.33,412.67,,,,,,,,,,,,
809,57628,4230,8232.57,604.29,,,,,,,,,,,,
810,5170,456,5170.00,456.00,,,,,,,,,,,,
811,22095,3623,3156.43,517.57,,,,,,,,,,,,
812,36838,4624,6139.67,770.67,,,,,,,,,,,,
813,12580,1438,4193.33,479.33,,,,,,,,,,,,
814,33463,2947,4780.43,421.00,,,,,,,,,,,,
815,28337,2059,5667.40,411.80,,,,,,,,,,,,
816,30398,4271,4342.57,610.14,,,,,,,,,,,,
817,101644,11612,16940.67,1935.33,,,,,,,,,,,,
818,23144,2490,3857.33,415.00,,,,,,,,,,,,
819,16251,2208,2708.50,368.00,,,,,,,,,,,,
820,21723,2156,10861.50,1078.00,,,,,,,,,,,,
821,25324,2731,6331.00,682.75,,,,,,,,,,,,
822,60940,5287,6771.11,587.44,,,,,,,,,,,,
823,6838,644,1709.50,161.00,,,,,,,,,,,,
824,22496,2899,5624.00,724.75,,,,,,,,,,,,
825,14771,1607,3692.75,401.75,,,,,,,,,,,,
826,65432,5926,5948.36,538.73,,,,,,,,,,,,
827,66201,8867,13240.20,1773.40,,,,,,,,,,,,
828,34039,3911,5673.17,651.83,,,,,,,,,,,,
829,34561,4734,4937.29,676.29,,,,,,,,,,,,
830,29790,2446,5958.00,489.20,,,,,,,,,,,,
831,41887,3257,8377.40,651.40,,,,,,,,,,,,
832,32778,2702,4097.25,337.75,,,,,,,,,,,,
833,4565,484,4565.00,484.00,,,,,,,,,,,,
834,28976,3485,4829.33,580.83,,,,,,,,,,,,
835,21591,2632,3598.50,438.67,,,,,,,,,,,,
836,23694,1933,3384.86,276.14,,,,,,,,,,,,
837,16825,2186,3365.00,437.20,,,,,,,,,,,,
838,26562,4093,5312.40,818.60,,,,,,,,,,,,
839,21312,2612,3552.00,435.33,,,,,,,,,,,,
840,43176,6135,8635.20,1227.00,,,,,,,,,,,,
841,10356,1442,3452.00,480.67,,,,,,,,,,,,
842,35808,2496,7161.60,499.20,,,,,,,,,,,,
843,57728,6075,9621.33,1012.50,,,,,,,,,,,,
845,3917,295,3917.00,295.00,,,,,,,,,,,,
846,58453,5316,8350.43,759.43,,,,,,,,,,,,
847,52914,7598,7559.14,1085.43,,,,,,,,,,,,
848,22251,2846,3178.71,406.57,,,,,,,,,,,,
849,34518,4084,4931.14,583.43,,,,,,,,,,,,
850,20584,1667,5146.00,416.75,,,,,,,,,,,,
851,11377,478,3792.33,159.33,,,,,,,,,,,,
852,32929,4585,3658.78,509.44,,,,,,,,,,,,
853,55697,6859,7956.71,979.86,,,,,,,,,,,,
854,17246,2691,2874.33,448.50,,,,,,,,,,,,
855,32077,3268,3207.70,326.80,,,,,,,,,,,,
856,53520,7006,5352.00,700.60,,,,,,,,,,,,
857,38693,3822,7738.60,764.40,,,,,,,,,,,,
858,0,373,0.00,373.00,,,,,,,,,,,,
859,13891,1355,4630.33,451.67,,,,,,,,,,,,
860,17585,2265,5861.67,755.00,,,,,,,,,,,,
861,9526,1471,1905.20,294.20,,,,,,,,,,,,
862,37287,2341,7457.40,468.20,,,,,,,,,,,,
863,35879,4418,5979.83,736.33,,,,,,,,,,,,
864,13445,1268,2689.00,253.60,,,,,,,,,,,,
865,30167,1965,6033.40,393.00,,,,,,,,,,,,
866,32150,1334,5358.33,222.33,,,,,,,,,,,,
867,10616,433,5308.00,216.50,,,,,,,,,,,,
868,46739,3097,9347.80,619.40,,,,,,,,,,,,
869,37528,6197,4691.00,774.63,,,,,,,,,,,,
870,43053,4969,8610.60,993.80,,,,,,,,,,,,
871,5138,407,5138.00,407.00,,,,,,,,,,,,
872,35925,3631,7185.00,726.20,,,,,,,,,,,,
873,21405,2607,4281.00,521.40,,,,,,,,,,,,
874,13893,1628,3473.25,407.00,,,,,,,,,,,,
875,29974,3226,3330.44,358.44,,,,,,,,,,,,
876,10732,1267,3577.33,422.33,,,,,,,,,,,,
877,6087,1841,3043.50,920.50,,,,,,,,,,,,
878,68549,4878,7616.56,542.00,,,,,,,,,,,,
879,10373,1045,3457.67,348.33,,,,,,,,,,,,
880,14563,1612,7281.50,806.00,,,,,,,,,,,,
881,29837,3756,4262.43,536.57,,,,,,,,,,,,
882,24572,3164,4095.33,527.33,,,,,,,,,,,,
883,12095,1413,3023.75,353.25,,,,,,,,,,,,
884,26038,2376,2603.80,237.60,,,,,,,,,,,,
885,4876,692,1625.33,230.67,,,,,,,,,,,,
886,31762,2612,4537.43,373.14,,,,,,,,,,,,
887,24721,1997,6180.25,499.25,,,,,,,,,,,,
888,31632,3106,4518.86,443.71,,,,,,,,,,,,
889,31257,3277,3907.13,409.63,,,,,,,,,,,,
890,28116,1635,5623.20,327.00,,,,,,,,,,,,
891,18640,2462,9320.00,1231.00,,,,,,,,,,,,
892,17232,1684,3446.40,336.80,,,,,,,,,,,,
893,23990,3176,3998.33,529.33,,,,,,,,,,,,
894,53945,6628,8990.83,1104.67,,,,,,,,,,,,
895,31689,2866,7922.25,716.50,,,,,,,,,,,,
896,50449,7856,7207.00,1122.29,,,,,,,,,,,,
897,10811,1334,2702.75,333.50,,,,,,,,,,,,
898,27458,3796,5491.60,759.20,,,,,,,,,,,,
899,37102,2688,5300.29,384.00,,,,,,,,,,,,
900,20207,1251,6735.67,417.00,,,,,,,,,,,,
901,26519,2342,6629.75,585.50,,,,,,,,,,,,
902,31390,2715,4484.29,387.86,,,,,,,,,,,,
903,21734,2249,3622.33,374.83,,,,,,,,,,,,
904,14046,1522,4682.00,507.33,,,,,,,,,,,,
905,48619,3711,8103.17,618.50,,,,,,,,,,,,
906,42180,5012,6025.71,716.00,,,,,,,,,,,,
907,42691,5500,5336.38,687.50,,,,,,,,,,,,
908,23246,2506,3320.86,358.00,,,,,,,,,,,,
909,37736,5048,6289.33,841.33,,,,,,,,,,,,
910,48201,4657,4820.10,465.70,,,,,,,,,,,,
911,16879,900,5626.33,300.00,,,,,,,,,,,,
912,0,0,0.00,0.00,,,,,,,,,,,,
913,45163,6358,7527.17,1059.67,,,,,,,,,,,,
914,38656,3393,5522.29,484.71,,,,,,,,,,,,
915,33713,1683,6742.60,336.60,,,,,,,,,,,,
916,30116,2468,6023.20,493.60,,,,,,,,,,,,
917,16063,1953,3212.60,390.60,,,,,,,,,,,,
918,32556,2941,5426.00,490.17,,,,,,,,,,,,
919,0,0,0.00,0.00,,,,,,,,,,,,
920,19965,1958,6655.00,652.67,,,,,,,,,,,,
921,40397,4729,10099.25,1182.25,,,,,,,,,,,,
922,23729,2271,5932.25,567.75,,,,,,,,,,,,
923,19858,2272,4964.50,568.00,,,,,,,,,,,,
924,28097,2643,4013.86,377.57,,,,,,,,,,,,
925,7194,0,2398.00,0.00,,,,,,,,,,,,
926,35340,2383,8835.00,595.75,,,,,,,,,,,,
927,21445,2003,4289.00,400.60,,,,,,,,,,,,
928,5176,489,1725.33,163.00,,,,,,,,,,,,
929,29228,2884,4175.43,412.00,,,,,,,,,,,,
930,13094,2091,4364.67,697.00,,,,,,,,,,,,
931,20761,1961,2965.86,280.14,,,,,,,,,,,,
932,32071,1605,6414.20,321.00,,,,,,,,,,,,
933,6763,869,6763.00,869.00,,,,,,,,,,,,
934,36455,2858,7291.00,571.60,,,,,,,,,,,,
935,20216,2208,2527.00,276.00,,,,,,,,,,,,
936,8266,1064,4133.00,532.00,,,,,,,,,,,,
937,31002,2582,4428.86,368.86,,,,,,,,,,,,
938,29714,2972,9904.67,990.67,,,,,,,,,,,,
939,28960,1288,7240.00,322.00,,,,,,,,,,,,
940,31398,3135,7849.50,783.75,,,,,,,,,,,,
941,20200,2372,4040.00,474.40,,,,,,,,,,,,
942,23104,1769,5776.00,442.25,,,,,,,,,,,,
943,35980,2288,5996.67,381.33,,,,,,,,,,,,
944,28609,3069,9536.33,1023.00,,,,,,,,,,,,
945,17822,1890,3564.40,378.00,,,,,,,,,,,,
946,13531,1693,4510.33,564.33,,,,,,,,,,,,
947,31025,5679,5170.83,946.50,,,,,,,,,,,,
948,31823,7727,6364.60,1545.40,,,,,,,,,,,,
949,37926,3106,4740.75,388.25,,,,,,,,,,,,
950,31640,3060,4520.00,437.14,,,,,,,,,,,,
951,38779,3575,7755.80,715.00,,,,,,,,,,,,
952,0,0,0.00,0.00,,,,,,,,,,,,
953,20885,1326,5221.25,331.50,,,,,,,,,,,,
954,41741,5691,3794.64,517.36,,,,,,,,,,,,
955,24058,1344,4811.60,268.80,,,,,,,,,,,,
